>PDB:1EVY_A mol:protein length:366     Glycerol-3-Phosphate Dehydrogenase
>PDB:1OQY_A mol:protein length:368     Uv Excision Repair Protein Rad23 Homolog A
>PDB:1OQJ_A mol:protein length:97     Glucocorticoid Modulatory Element Binding Pro
>PDB:1OQK_A mol:protein length:97     Conserved Protein Mth11
>PDB:1OQZ_A mol:protein length:697     Glutaryl Acylase
>PDB:1O3U_A mol:protein-het length:135     Conserved Hypothetical Protein Tm0613
>PDB:1P4E_A mol:protein length:429     Recombinase Flp Protein
>PDB:1P4T_A mol:protein length:155     Outer Membrane Protein Nspa
>PDB:1P4W_A mol:protein length:99     Rcsb
>PDB:1P4Q_A mol:protein length:52     Cbp/P300-Interacting Transactivator 2
>PDB:1P4X_A mol:protein length:250     Staphylococcal Accessory Regulator A Homolog
>PDB:1P4U_B mol:protein length:13     Rabaptin-5
>PDB:1P49_A mol:protein-het length:562     Steryl-Sulfatase
>PDB:1P44_A mol:protein length:269     Enoyl-[Acyl-Carrier-Protein] Reductase [Nadh
>PDB:1P4D_A mol:protein length:330     Trai Protein
>PDB:1P4S_A mol:protein length:181     Adenylate Kinase
>PDB:1OWT_A mol:protein length:66     Amyloid Beta A4 Protein
>PDB:1OWX_A mol:protein length:121     Lupus La Protein
>PDB:1OW1_A mol:protein length:195     Smart/Hdac1 Associated Repressor Protein
>PDB:1OWW_A mol:protein length:98     Fibronectin First Type III Module
>PDB:1OW6_D mol:protein length:13     Paxillin
>PDB:1OWA_A mol:protein length:156     Spectrin Alpha Chain, Erythrocyte
>PDB:1OW5_A mol:protein length:85     Serine/Threonine-Protein Kinase Ste11
>PDB:1P5U_A mol:protein length:235     Chaperone Protein Caf1M
>PDB:1P5U_B mol:protein length:149     F1 Capsule Antigen
>PDB:1P5Z_B mol:protein length:263     Deoxycytidine Kinase
>PDB:1P51_A mol:protein length:94     DNA-Binding Protein Hu
>PDB:1P58_A mol:protein length:495     Major Envelope Protein E
>PDB:1P58_D mol:protein length:75     Envelope Protein M
>PDB:1P57_A mol:protein length:114     Serine Protease Hepsin
>PDB:1P5S_A mol:protein length:203     Ras Gtpase-Activating-Like Protein Rng2
>PDB:1P5J_A mol:protein length:372     L-Serine Dehydratase
>PDB:1P7B_A mol:protein length:333     Integral Membrane Channel and Cytosolic Doma
>PDB:1P74_A mol:protein length:272     Shikimate 5-Dehydrogenase
>PDB:1P7D_A mol:protein-het length:283     Integrase
>PDB:1P72_A mol:protein length:334     Thymidine Kinase
>PDB:1P7G_A mol:protein-het length:222     Superoxide Dismutase
>PDB:1OZN_A mol:protein length:285     Reticulon 4 Receptor
>PDB:1OZ9_A mol:protein length:150     Hypothetical Protein Aq_1354
>PDB:1OZG_A mol:protein length:566     Acetolactate Synthase, Catabolic
>PDB:1OZJ_A mol:protein length:144     Smad 3
>PDB:1P85_C mol:protein length:201     50S Ribosomal Protein L4
>PDB:1P85_E mol:protein length:176     50S Ribosomal Protein L6
>PDB:1P85_F mol:protein length:149     50S Ribosomal Protein L9
>PDB:1P85_J mol:protein length:144     50S Ribosomal Protein L15
>PDB:1P85_L mol:protein length:127     50S Ribosomal Protein L17
>PDB:1P85_R mol:protein length:100     50S Ribosomal Protein L23
>PDB:1P85_S mol:protein length:103     50S Ribosomal Protein L24
>PDB:1P85_4 mol:protein length:38     50S Ribosomal Protein L36
>PDB:1P87_E mol:protein length:166     30S Ribosomal Protein S5
>PDB:1P87_F mol:protein length:135     30S Ribosomal Protein S6
>PDB:1P87_G mol:protein length:178     30S Ribosomal Protein S7
>PDB:1P87_I mol:protein length:129     30S Ribosomal Protein S9
>PDB:1P87_N mol:protein length:100     30S Ribosomal Protein S14
>PDB:1P87_P mol:protein length:82     30S Ribosomal Protein S16
>PDB:1P87_R mol:protein length:74     30S Ribosomal Protein S18
>PDB:1P87_T mol:protein length:86     30S Ribosomal Protein S20
>PDB:1P8L_A mol:protein length:304     Pbcv-1 DNA Ligase
>PDB:1P8C_A mol:protein length:145     Conserved Hypothetical Protein
>PDB:1P8K_Z mol:protein-het length:254     Intron-Encoded Endonuclease I-Anii
>PDB:1P8A_A mol:protein length:146     Protein Tyrosine Phosphatase
>PDB:1P9H_A mol:protein length:226     Invasin
>PDB:1P9S_A mol:protein-het length:300     Replicase Polyprotein 1Ab
>PDB:1P90_A mol:protein length:145     Hypothetical Protein
>PDB:1P9O_A mol:protein length:313     Phosphopantothenoylcysteine Synthetase
>PDB:1P9J_A mol:protein length:54     Chimera Of Epidermal Growth Factor(Egf) and T
>PDB:1P9R_A mol:protein-het length:418     General Secretion Pathway Protein E
>PDB:1P9K_A mol:protein length:79     Orf, Hypothetical Protein
>PDB:1P94_A mol:protein length:76     Plasmid Partition Protein Parg
>PDB:1P97_A mol:protein length:114     Endothelial Pas Domain Protein 1
>PDB:1P99_A mol:protein length:295     Hypothetical Protein Pg110
>PDB:1P91_A mol:protein-het length:269     Ribosomal RNA Large Subunit Methyltransf
>PDB:1P9E_A mol:protein length:331     Methyl Parathion Hydrolase
>PDB:1P9Q_C mol:protein length:256     Hypothetical Protein Af0491
>PDB:1OGQ_A mol:protein length:313     Polygalacturonase Inhibiting Protein
>PDB:1OGS_A mol:protein length:497     Glucosylceramidase
>PDB:1OGA_D mol:protein length:215     T-Cell Receptor Alpha Chain V Region
>PDB:1OGA_E mol:protein length:252     T-Cell Receptor Beta Chain C Region
>PDB:1OGC_A mol:protein length:131     High Affinity Ribose Transport Protein Rbsd
>PDB:1OGM_X mol:protein length:574     Dextranase
>PDB:1OGY_A mol:protein length:802     Periplasmic Nitrate Reductase
>PDB:1OGY_B mol:protein length:130     Nitrate Reductase
>PDB:1OGK_A mol:protein length:283     Deoxyuridine Triphosphatase
>PDB:1P6V_A mol:protein length:156     Ssra-Binding Protein
>PDB:1P6U_A mol:protein length:129     Chey2
>PDB:1P65_A mol:protein length:73     Nucleocapsid Protein
>PDB:1P68_A mol:protein length:102     De Novo Designed Protein S-824
>PDB:1P6F_A mol:protein length:242     Natural Cytotoxicity Triggering Receptor 1
>PDB:1P6R_A mol:protein length:82     Penicillinase Repressor
>PDB:1P6T_A mol:protein length:151     Potential Copper-Transporting Atpase
>PDB:1UFH_A mol:protein length:180     Yycn Protein
>PDB:1UF2_A mol:protein length:1019     Core Protein P3
>PDB:1UF2_P mol:protein length:421     Outer Capsid Protein P8
>PDB:1UF2_K mol:protein length:506     Structural Protein P7
>PDB:1UF0_A mol:protein length:116     Serine/Threonine-Protein Kinase Dcamkl1
>PDB:1UF1_A mol:protein length:128     Kiaa1526 Protein
>PDB:1UF3_A mol:protein-het length:228     Hypothetical Protein Tt1561
>PDB:1UF6_A mol:protein length:178     Conserved Hypothetical Protein Tt1927B
>PDB:1UF9_A mol:protein-het length:203     Tt1252 Protein
>PDB:1UFA_A mol:protein-het length:520     Tt1467 Protein
>PDB:1UFF_A mol:protein length:93     Intersectin 2
>PDB:1UFK_A mol:protein length:254     Tt0836 Protein
>PDB:1UFL_A mol:protein length:116     Nitrogen Regulatory Protein Pii
>PDB:1UFO_A mol:protein-het length:238     Hypothetical Protein Tt1662
>PDB:1UFW_A mol:protein length:95     Synaptojanin 2
>PDB:1UFI_A mol:protein length:64     Major Centromere Autoantigen B
>PDB:1UFG_A mol:protein length:151     Lamin A
>PDB:1UFM_A mol:protein length:84     Cop9 Complex Subunit 4
>PDB:1UFZ_A mol:protein length:83     Hypothetical Protein Bab28515
>PDB:1PQW_A mol:protein length:198     Polyketide Synthase
>PDB:1PQV_S mol:protein length:309     Transcription Elongation Factor S-II
>PDB:1PQ1_B mol:protein length:33     Bcl2-Like Protein 11
>PDB:1PQ4_A mol:protein length:291     Periplasmic Binding Protein Component Of An
>PDB:1PQR_A mol:protein-het length:31     Alpha-A-Conotoxin Eiva
>PDB:1PQZ_A mol:protein length:238     Mcmv M144
>PDB:1PQX_A mol:protein length:91     Conserved Hypothetical Protein
>PDB:1O4U_A mol:protein length:285     Type II Quinolic Acid Phosphoribosyltransfer
>PDB:1O4V_A mol:protein length:183     Phosphoribosylaminoimidazole Mutase Pure
>PDB:1O4S_A mol:protein length:389     Aspartate Aminotransferase
>PDB:1O4T_A mol:protein length:133     Putative Oxalate Decarboxylase
>PDB:1O4W_A mol:protein-het length:147     Pin (Pilt N-Terminus) Domain
>PDB:1O4Y_A mol:protein length:288     Beta-Agarase A
>PDB:1O4Z_A mol:protein length:346     Beta-Agarase B
>PDB:1O4X_A mol:protein length:167     Transcription Factor Oct-1
>PDB:1O4X_B mol:protein length:88     Transcription Factor Sox-2
>PDB:1UHN_A mol:protein length:189     Calcineurin B-Like Protein 2
>PDB:1UH6_A mol:protein length:100     Ubiquitin-Like 5
>PDB:1UHC_A mol:protein length:79     Kiaa1010 Protein
>PDB:1UHT_A mol:protein length:118     Expressed Protein
>PDB:1UHW_A mol:protein length:109     Pleckstrin
>PDB:1UHD_B mol:protein length:24     Aspartate 1-Decarboxylase Beta Chain
>PDB:1UHE_A mol:protein length:97     Aspartate 1-Decarboxylase Alpha Chain
>PDB:1UHS_A mol:protein length:72     Homeodomain Only Protein
>PDB:1UHU_A mol:protein length:105     Product Of Riken Cdna 3110009E22
>PDB:1UHZ_A mol:protein length:89     Staufen (RNA Binding Protein) Homolog 2
>PDB:1Q0C_A mol:protein length:365     Homoprotocatechuate 2,3-Dioxygenase
>PDB:1Q05_A mol:protein length:135     Transcriptional Regulator Cuer
>PDB:1Q08_A mol:protein length:99     Zn(II)-Responsive Regulator Of Znta
>PDB:1Q0S_A mol:protein length:259     DNA Adenine Methylase
>PDB:1Q02_A mol:protein length:52     Sequestosome 1
>PDB:1Q0U_A mol:protein-het length:219     Bstdead
>PDB:1Q0R_A mol:protein length:298     Aclacinomycin Methylesterase
>PDB:1Q0V_A mol:protein length:81     Hydrophilic Protein
>PDB:1Q0P_A mol:protein length:223     Complement Factor B
>PDB:1Q0H_A mol:protein-het length:406     1-Deoxy-D-Xylulose 5-Phosphate Reductois
>PDB:1Q1U_A mol:protein length:144     Fibrobast Growth Factor Homologous Factor 1
>PDB:1Q12_A mol:protein length:381     Maltose/Maltodextrin Transport ATP-Binding P
>PDB:1Q14_A mol:protein length:361     Hst2 Protein
>PDB:1Q1L_A mol:protein-het length:401     Chorismate Synthase
>PDB:1Q16_A mol:protein length:1247     Respiratory Nitrate Reductase 1 Alpha Chain
>PDB:1Q1O_A mol:protein length:98     Cell Division Control Protein 24
>PDB:1Q15_A mol:protein length:503     Cara
>PDB:1Q1Q_A mol:protein length:350     Sulfotransferase Family, Cytosolic, 2B, Memb
>PDB:1Q1H_A mol:protein length:110     Transcription Factor E
>PDB:1Q1R_A mol:protein length:431     Putidaredoxin Reductase
>PDB:1Q1S_C mol:protein length:466     Importin Alpha-2 Subunit
>PDB:1Q18_A mol:protein-het length:332     Glucokinase
>PDB:1Q1V_A mol:protein length:70     Dek Protein
>PDB:1Q3E_A mol:protein length:207     Potassium/Sodium Hyperpolarization-Activated
>PDB:1Q3M_A mol:protein-het length:49     Osteocalcin
>PDB:1Q3D_A mol:protein length:424     Glycogen Synthase Kinase-3 Beta
>PDB:1Q3J_A mol:protein length:36     Alo3
>PDB:1Q3O_A mol:protein length:109     Shank1
>PDB:1Q3I_A mol:protein length:214     Na, K-Atpase
>PDB:1Q3T_A mol:protein length:236     Cytidylate Kinase
>PDB:1Q32_A mol:protein length:544     Tyrosyl-DNA Phosphodiesterase
>PDB:1O50_A mol:protein length:157     Cbs Domain-Containing Predicted Protein Tm09
>PDB:1O51_A mol:protein-het length:114     Hypothetical Protein Tm0021
>PDB:1O54_A mol:protein length:277     Sam-Dependent O-Methyltransferase
>PDB:1O57_A mol:protein length:291     Pur Operon Repressor
>PDB:1O59_A mol:protein-het length:355     Allantoicase
>PDB:1O5H_A mol:protein-het length:214     Formiminotetrahydrofolate Cyclodeaminase
>PDB:1O5I_A mol:protein length:249     3-Oxoacyl-(Acyl Carrier Protein) Reductase
>PDB:1O5K_A mol:protein-het length:306     Dihydrodipicolinate Synthase
>PDB:1O5L_A mol:protein length:213     Transcriptional Regulator, Crp Family
>PDB:1O5O_A mol:protein length:221     Uracil Phosphoribosyltransferase
>PDB:1O5U_A mol:protein length:101     Novel Thermotoga Maritima Enzyme Tm1112
>PDB:1O5W_A mol:protein length:534     Amine Oxidase [Flavin-Containing] A
>PDB:1O5Z_A mol:protein length:442     Folylpolyglutamate Synthase/Dihydrofolate Sy
>PDB:1O5Q_A mol:protein length:305     Probable Methylisocitrate Lyase
>PDB:1UJP_A mol:protein length:271     Tryptophan Synthase Alpha Chain
>PDB:1UJN_A mol:protein length:348     Dehydroquinate Synthase
>PDB:1UJL_A mol:protein length:42     Potassium Voltage-Gated Channel Subfamily H M
>PDB:1UJ0_B mol:protein length:11     Deubiquitinating Enzyme Ubpy
>PDB:1UJD_A mol:protein length:117     Kiaa0559 Protein
>PDB:1UJS_A mol:protein length:88     Actin-Binding Lim Protein Homologue
>PDB:1UJT_A mol:protein length:120     Kiaa1568 Protein
>PDB:1UJU_A mol:protein length:111     Scribble
>PDB:1UJV_A mol:protein length:96     Membrane Associated Guanylate Kinase Inverted
>PDB:1UJX_A mol:protein length:119     Polynucleotide Kinase 3'-Phosphatase
>PDB:1UJJ_C mol:protein length:12     C-Terminal Peptide From Beta-Secretase
>PDB:1UJO_A mol:protein length:144     Transgelin
>PDB:1UJR_A mol:protein length:110     Hypothetical Protein Ak012080
>PDB:1UJM_A mol:protein-het length:342     Aldehyde Reductase II
>PDB:1Q4S_A mol:protein length:151     Thioesterase
>PDB:1Q4K_B mol:protein length:259     Serine/Threonine-Protein Kinase Plk
>PDB:1Q48_A mol:protein length:134     Nifu-Like Protein
>PDB:1Q44_A mol:protein length:326     Steroid Sulphotransferase
>PDB:1Q45_A mol:protein length:391     12-Oxophytodienoate-10,11-Reductase
>PDB:1Q4M_A mol:protein-het length:221     Seed Maturation Protein -Related
>PDB:1Q4R_A mol:protein-het length:112     Protein At3G17210
>PDB:1Q40_A mol:protein-het length:201     Mrna Transport Regulator Mtr2
>PDB:1Q40_B mol:protein-het length:219     Mrna Export Factor Mex67
>PDB:1Q4F_A mol:protein-het length:23     De Novo Designed 21 Residue Peptide
>PDB:1Q47_A mol:protein length:495     Semaphorin 3A
>PDB:1Q5N_A mol:protein length:454     3-Carboxy-Cis, Cis-Muconate Cycloisomerase
>PDB:1Q59_A mol:protein length:172     Early Antigen Protein R
>PDB:1Q5V_A mol:protein length:133     Nickel Responsive Regulator
>PDB:1Q55_A mol:protein length:880     Ep-Cadherin
>PDB:1Q5Z_A mol:protein length:177     Sipa
>PDB:1Q57_A mol:protein length:503     DNA Primase/Helicase
>PDB:1Q5Q_A mol:protein length:259     Proteasome Alpha-Type Subunit 1
>PDB:1Q5R_H mol:protein length:294     Proteasome Beta-Type Subunit 1
>PDB:1Q5F_A mol:protein length:156     Pils
>PDB:1Q6W_A mol:protein-het length:161     Monoamine Oxidase Regulatory Protein, Pu
>PDB:1Q68_A mol:protein length:38     T-Cell Surface Glycoprotein Cd4
>PDB:1Q68_B mol:protein length:29     Proto-Oncogene Tyrosine-Protein Kinase Lck
>PDB:1Q69_A mol:protein length:19     T-Cell Surface Glycoprotein Cd8 Alpha Chain
>PDB:1Q6U_A mol:protein length:245     Fkbp-Type Peptidyl-Prolyl Cis-Trans Isomeras
>PDB:1Q67_A mol:protein length:231     Decapping Protein Involved In Mrna Degradati
>PDB:1Q6X_A mol:protein length:644     Choline O-Acetyltransferase
>PDB:1Q7F_A mol:protein length:286     Brain Tumor Cg10719-Pa
>PDB:1Q7G_A mol:protein length:359     Homoserine Dehydrogenase
>PDB:1Q7R_A mol:protein-het length:219     Predicted Amidotransferase
>PDB:1Q77_A mol:protein-het length:138     Hypothetical Protein Aq_178
>PDB:1Q7X_A mol:protein length:108     Pdz2B Domain Of Ptp-Bas (Hptp1E)
>PDB:1Q7T_A mol:protein length:328     Hypothetical Protein Rv1170
>PDB:1Q7H_A mol:protein-het length:153     Conserved Hypothetical Protein
>PDB:1Q7L_A mol:protein length:198     Aminoacylase-1
>PDB:1Q7L_B mol:protein length:88     Aminoacylase-1
>PDB:1Q7M_A mol:protein length:566     5-Methyltetrahydrofolate S-Homocysteine Meth
>PDB:1Q78_A mol:protein-het length:514     Poly(A) Polymerase Alpha
>PDB:1Q90_A mol:protein length:292     Apocytochrome F
>PDB:1Q90_L mol:protein length:32     Cytochrome B6F Complex Subunit Petl
>PDB:1Q90_M mol:protein length:39     Cytochrome B6F Complex Subunit Petm
>PDB:1Q90_N mol:protein length:31     Cytochrome B6F Complex Subunit Petn
>PDB:1Q9C_A mol:protein-het length:191     Son Of Sevenless Protein
>PDB:1Q9U_A mol:protein-het length:130     Hypothetical Protein Apc35924
>PDB:1Q9Y_A mol:protein length:906     DNA Polymerase
>PDB:1Q9J_A mol:protein length:422     Polyketide Synthase Associated Protein 5
>PDB:1QXF_A mol:protein length:66     30S Ribosomal Protein S27E
>PDB:1QX9_A mol:protein-het length:16     Indolicidin Derivative
>PDB:1QXH_A mol:protein length:167     Thiol Peroxidase
>PDB:1QXM_A mol:protein length:300     Ha1
>PDB:1QXP_A mol:protein length:900     Mu-Like Calpain
>PDB:1QXN_A mol:protein length:137     Sulfide Dehydrogenase
>PDB:1QXW_A mol:protein length:252     Methionyl Aminopeptidase
>PDB:1Q8C_A mol:protein length:151     Hypothetical Protein Mg027
>PDB:1Q87_A mol:protein length:221     39 Kda Initiator Binding Protein
>PDB:1Q8M_A mol:protein length:127     Triggering Receptor Expressed On Myeloid Cel
>PDB:1Q8R_A mol:protein length:120     Crossover Junction Endodeoxyribonuclease Rus
>PDB:1Q8L_A mol:protein length:84     Copper-Transporting Atpase 1
>PDB:1Q8I_A mol:protein length:783     DNA Polymerase II
>PDB:1Q8B_A mol:protein-het length:105     Protein Yjcs
>PDB:1Q8D_A mol:protein-het length:108     Gdnf Family Receptor Alpha 1
>PDB:1Q8K_A mol:protein length:308     Eukaryotic Translation Initiation Factor 2 S
>PDB:1QZ1_A mol:protein length:291     Neural Cell Adhesion Molecule 1, 140 Kda Iso
>PDB:1QZ7_B mol:protein length:70     Axin
>PDB:1QZG_A mol:protein length:187     Protection Of Telomeres Protein 1
>PDB:1QZW_A mol:protein length:440     Signal Recognition 54 Kda Protein
>PDB:1QZ9_A mol:protein length:416     Kynureninase
>PDB:1QZM_A mol:protein length:94     ATP-Dependent Protease La
>PDB:1QZT_A mol:protein length:333     Phosphate Acetyltransferase
>PDB:1QZN_A mol:protein length:173     Cellulosomal Scaffoldin Adaptor Protein B
>PDB:1R43_A mol:protein-het length:463     Beta-Alanine Synthase
>PDB:1R4K_A mol:protein length:169     Argonaute 1
>PDB:1R48_A mol:protein-het length:35     Proline/Betaine Transporter
>PDB:1R42_A mol:protein length:615     Angiotensin I Converting Enzyme 2
>PDB:1R4W_A mol:protein length:226     Glutathione S-Transferase, Mitochondrial
>PDB:1R4G_A mol:protein length:53     RNA Polymerase Alpha Subunit
>PDB:1R4V_A mol:protein-het length:171     Hypothetical Protein Aq_328
>PDB:1R4P_A mol:protein length:297     Shiga-Like Toxin Type II A Subunit
>PDB:1R4P_B mol:protein length:70     Shiga-Like Toxin Type II B Subunit
>PDB:1R44_A mol:protein length:202     D-Alanyl-D-Alanine Dipeptidase
>PDB:1R4I_A mol:protein length:105     Androgen Receptor
>PDB:1R5A_A mol:protein length:218     Glutathione Transferase
>PDB:1R5R_A mol:protein length:119     Pheromone-Binding Protein Asp1
>PDB:1R5X_A mol:protein length:133     Afjamm
>PDB:1R52_A:1 mol:protein length:382     Chorismate Synthase
>PDB:1R5Z_A mol:protein length:323     V-Type ATP Synthase Subunit C
>PDB:1R5V_E mol:protein length:13     Artificial Peptide
>PDB:1R57_A mol:protein length:102     Conserved Hypothetical Protein
>PDB:1R5I_D mol:protein length:216     Superantigen
>PDB:1R5P_A mol:protein length:108     Circadian Oscillation Regulator
>PDB:1R5B_A mol:protein length:467     Eukaryotic Peptide Chain Release Factor GTP-
>PDB:1R5T_A mol:protein length:142     Cytidine Deaminase
>PDB:1R54_A mol:protein length:214     Adam 33
>PDB:1V2A_A mol:protein length:210     Glutathione Transferase Gst1-6
>PDB:1V27_A mol:protein length:141     Regulating Synaptic Membrane Exocytosis Prot
>PDB:1V2Y_A mol:protein length:105     3300001G02Rik Protein
>PDB:1V2X_A mol:protein length:194     tRNA (Gm18) Methyltransferase
